30254,10.80.1.106
30256,10.80.1.117
30264,10.80.1.118
30396,10.80.1.56
30617,10.80.1.146
31026,10.80.1.57
31027,10.80.1.152
31037,10.80.1.135
31039,10.80.1.120
31335,10.80.1.150
31339,10.80.1.159
31598,10.80.1.173
31600,10.80.0.111
31610,10.80.1.158
31629,10.80.1.182
31807,10.80.1.130
31808,10.80.1.166
31979,10.80.1.108
31980,10.80.1.137
31984,10.80.1.191
31985,10.80.1.183
32186,10.80.1.141
32187,10.80.1.128
32191,10.80.1.201
32192,10.80.1.197
32204,10.80.0.215
32518,10.80.0.199
32521,10.80.1.178
32522,10.80.1.195
32523,10.80.1.167
32533,10.80.0.204
32911,10.80.0.200
32913,10.80.0.201
32920,10.80.1.24
33071,10.80.1.139
33076,10.80.0.212
33079,10.80.1.7
33080,10.80.1.9
33087,10.80.1.15
33088,10.80.1.10
33090,10.80.1.59
33091,10.80.0.207
33092,10.80.0.203
33222,10.80.1.46
33225,10.80.1.42
33227,10.80.1.40
33228,10.80.1.34
33229,10.80.1.41
33230,10.80.1.45
33231,10.80.1.44
33232,10.80.1.48
33234,10.80.1.49
33235,10.80.1.50
33236,10.80.1.52
33237,10.80.1.51
33239,10.80.1.54
33241,10.80.1.53
33245,10.80.1.35
33827,10.80.0.223
33833,10.80.0.216
33834,10.80.0.197
33835,10.80.0.205
33837,10.80.1.8
33838,10.80.1.19
33839,10.80.1.33
33840,10.80.1.4
33842,10.80.0.206
34388,10.80.0.36
34390,10.80.0.50
34391,10.80.0.46
34392,10.80.0.51
34395,10.80.0.37
34397,10.80.0.52
34399,10.80.0.68
34400,10.80.0.70
34404,10.80.0.69
34407,10.80.0.40
34410,10.80.0.43
34948,10.80.0.76
34949,10.80.0.75
34951,10.80.0.80
34952,10.80.0.79
34959,10.80.0.85
34962,10.80.0.82
34964,10.80.0.147
34965,10.80.0.142
34967,10.80.0.151
34968,10.80.0.136
34969,10.80.0.159
34970,10.80.0.154
34971,10.80.0.149
34972,10.80.0.150
34974,10.80.0.186
34975,10.80.0.178
34977,10.80.0.161
34980,10.80.0.190
34981,10.80.0.177
34986,10.80.0.100
34987,10.80.0.125
34988,10.80.0.89
34990,10.80.0.91
34991,10.80.0.95
34992,10.80.0.133
36329,10.80.1.64
36331,10.80.1.65
36334,10.80.1.66
36335,10.80.1.63
36336,10.80.1.70
36338,10.80.1.67
36339,10.80.1.73
36341,10.80.1.69
36342,10.80.1.72
36344,10.80.1.68
36348,10.80.1.75
36349,10.80.1.62
36350,10.80.1.76
36353,10.80.1.71
36356,10.80.1.95
36357,10.80.1.94
36358,10.80.1.93
36359,10.80.1.92
36360,10.80.1.90
36361,10.80.1.91
36365,10.80.1.89
36369,10.80.1.85
36370,10.80.1.84
36371,10.80.1.88
36372,10.80.1.86
37101,10.80.1.99
37107,10.80.0.74
37110,10.80.0.27
37111,10.80.1.103
37112,10.80.1.79
37234,10.80.1.100
37236,10.80.1.77
37238,10.80.10.20
37240,10.80.0.26
37242,10.80.1.97
37243,10.80.1.96
37244,10.80.1.98
37246,10.80.0.24
37263,10.80.1.60
37473,10.80.0.195
37476,10.80.0.198
37483,10.80.0.208
37484,10.80.0.209
37485,10.80.0.210
38070,10.80.10.90
38073,10.80.0.224
38075,10.80.1.47
38444,10.80.12.230
38447,10.80.1.206
38448,10.80.1.207
38449,10.80.1.208
38450,10.80.1.209
39679,10.80.10.222
39681,10.80.0.225
39684,10.80.1.110
39795,10.80.0.1
39798,10.80.1.165
39799,10.80.1.17
39800,10.80.1.172
39803,10.80.11.79
40018,10.80.0.11
40022,10.80.10.5
40024,10.80.0.5
40026,10.80.0.7
40028,10.80.0.15
40030,10.80.1.196
40059,10.80.0.29
40061,10.80.0.23
40062,10.80.0.19
40105,10.80.1.176
40108,10.80.0.72
40638,10.80.1.58
40642,10.80.1.78
40653,10.80.1.125
40655,10.80.1.192
40656,10.80.1.153
40658,10.80.1.174
40660,10.80.1.202
40664,10.80.1.181
40666,10.80.1.179
40671,10.80.1.218
40673,10.80.1.216
40674,10.80.1.214
40675,10.80.1.211
40677,10.80.1.204
40678,10.80.1.203
40680,10.80.1.222
40682,10.80.1.224
40683,10.80.1.228
40684,10.80.1.236
40685,10.80.1.237
40687,10.80.1.238
40688,10.80.1.239
40689,10.80.1.240
41135,10.80.10.62
41137,10.80.10.10
41142,10.80.10.44
41143,10.80.10.59
41144,10.80.0.193
41146,10.80.10.58
41148,10.80.10.29
41149,10.80.10.60
41151,10.80.10.61
41153,10.80.10.19
41154,10.80.10.18
41157,10.80.10.9
41161,10.80.0.253
41162,10.80.10.2
41162,10.80.10.6
41164,10.80.10.1
41167,10.80.0.247
41168,10.80.0.252
41170,10.80.0.251
41171,10.80.0.236
41975,10.80.1.61
42174,10.80.0.194
42488,10.80.1.185
44761,10.80.13.154
45769,10.80.13.71
